LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HRWKD,TOT,HR_WKD,A,1960,1952,
USA,HRWKD,TOT,HR_WKD,A,1961,1941,
USA,HRWKD,TOT,HR_WKD,A,1962,1960,
USA,HRWKD,TOT,HR_WKD,A,1963,1972,
USA,HRWKD,TOT,HR_WKD,A,1964,1975,
USA,HRWKD,TOT,HR_WKD,A,1965,1984,
USA,HRWKD,TOT,HR_WKD,A,1966,1974,
USA,HRWKD,TOT,HR_WKD,A,1967,1951,
USA,HRWKD,TOT,HR_WKD,A,1968,1940,
USA,HRWKD,TOT,HR_WKD,A,1969,1938,
USA,HRWKD,TOT,HR_WKD,A,1970,1907,
USA,HRWKD,TOT,HR_WKD,A,1971,1894,
USA,HRWKD,TOT,HR_WKD,A,1972,1890,
USA,HRWKD,TOT,HR_WKD,A,1973,1891,
USA,HRWKD,TOT,HR_WKD,A,1974,1860,
USA,HRWKD,TOT,HR_WKD,A,1975,1839,
USA,HRWKD,TOT,HR_WKD,A,1976,1841,
USA,HRWKD,TOT,HR_WKD,A,1977,1844,
USA,HRWKD,TOT,HR_WKD,A,1978,1836,
USA,HRWKD,TOT,HR_WKD,A,1979,1834,
USA,HRWKD,TOT,HR_WKD,A,1980,1816,
USA,HRWKD,TOT,HR_WKD,A,1981,1812,
USA,HRWKD,TOT,HR_WKD,A,1982,1803,
USA,HRWKD,TOT,HR_WKD,A,1983,1822,
USA,HRWKD,TOT,HR_WKD,A,1984,1839,
USA,HRWKD,TOT,HR_WKD,A,1985,1838,
USA,HRWKD,TOT,HR_WKD,A,1986,1829,
USA,HRWKD,TOT,HR_WKD,A,1987,1839,
USA,HRWKD,TOT,HR_WKD,A,1988,1837,
USA,HRWKD,TOT,HR_WKD,A,1989,1848,
USA,HRWKD,TOT,HR_WKD,A,1990,1833,
USA,HRWKD,TOT,HR_WKD,A,1991,1823,
USA,HRWKD,TOT,HR_WKD,A,1992,1822,
USA,HRWKD,TOT,HR_WKD,A,1993,1828,
USA,HRWKD,TOT,HR_WKD,A,1994,1839,
USA,HRWKD,TOT,HR_WKD,A,1995,1839,
USA,HRWKD,TOT,HR_WKD,A,1996,1840,
USA,HRWKD,TOT,HR_WKD,A,1997,1843,
USA,HRWKD,TOT,HR_WKD,A,1998,1842,
USA,HRWKD,TOT,HR_WKD,A,1999,1839,
USA,HRWKD,TOT,HR_WKD,A,2000,1832,
USA,HRWKD,TOT,HR_WKD,A,2001,1811,
USA,HRWKD,TOT,HR_WKD,A,2002,1806,
USA,HRWKD,TOT,HR_WKD,A,2003,1796,
USA,HRWKD,TOT,HR_WKD,A,2004,1798,
USA,HRWKD,TOT,HR_WKD,A,2005,1794,
USA,HRWKD,TOT,HR_WKD,A,2006,1796,
USA,HRWKD,TOT,HR_WKD,A,2007,1795,
USA,HRWKD,TOT,HR_WKD,A,2008,1786,
USA,HRWKD,TOT,HR_WKD,A,2009,1761,
USA,HRWKD,TOT,HR_WKD,A,2010,1772,
USA,HRWKD,TOT,HR_WKD,A,2011,1778,
USA,HRWKD,TOT,HR_WKD,A,2012,1782,
USA,HRWKD,TOT,HR_WKD,A,2013,1780,
USA,HRWKD,TOT,HR_WKD,A,2014,1782,
USA,HRWKD,TOT,HR_WKD,A,2015,1783,
USA,HRWKD,TOT,HR_WKD,A,2016,1778,
USA,HRWKD,TOT,HR_WKD,A,2017,1778,
USA,HRWKD,TOT,HR_WKD,A,2018,1782,
USA,HRWKD,TOT,HR_WKD,A,2019,1777,
USA,HRWKD,TOT,HR_WKD,A,2020,1767,
